#Processing Run 48227 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
12873138	12898193	1268.2	0
12898193	12906018	1273.6	0
12906018	12922451	1269.2	0
12922451	12939140	1274.6	0
12939140	12960326	1273.8	0
12960326	12985716	1273.8	0
12985716	12989673	1271.8	0
12989673	13005287	1279.6	0
13005287	13027847	1277.6	0
13027847	13038435	1274.6	0
13038435	13064422	1278.6	0
13064422	13077433	1271.8	0
13077433	13093868	1278.0	0
13093868	13110306	1278.2	0
13110306	13125779	1276.4	0
13125779	13150401	1275.4	0
13150401	13161199	1275.2	0
13161199	13177405	1276.4	0
13177405	13193842	1276.0	0
13193842	13210303	1276.0	0
13210303	13228759	1276.4	0
13228759	13243927	1276.8	0
13243927	13267973	1277.2	0
13267973	13282990	1276.2	0
13282990	13298757	1275.2	0
13298757	13316634	1276.4	0
13316634	13329925	1280.8	0
13329925	13345643	1278.2	0
13345643	13361299	1277.8	0
13361299	13375264	1281.6	0
13375264	13400428	1277.8	0
13400428	13416106	1275.4	0
13416106	13431728	1274.0	0
13431728	13446917	1273.4	0
13446917	13466138	1268.6	0
13466138	13485777	1273.0	0
13485777	13501238	1273.6	0
13501238	13516749	1274.0	0
13516749	13532831	1275.2	0
13532831	13549190	1275.0	0
13549190	13568514	1275.0	0
13568514	13580474	1269.0	0
13580474	13596107	1263.6	0
13596107	13611754	1266.8	0
13611754	13635036	1271.6	0
13635036	13656566	1274.0	0
13656566	13671944	1274.8	0
13671944	13682225	1272.2	0
13682225	13696648	1272.4	0
13696648	13713319	1273.0	0
13713319	13736927	1277.8	0
13736927	13753068	1286.2	0
13753068	13776195	1288.8	0
13776195	13789277	1282.2	0
13789277	13806656	1291.5	0
13806656	13830197	1290.7	0
13830197	13844719	1285.8	0
13844719	13862263	1285.0	0
13862263	13870093	1281.8	0
13870093	13885757	1286.0	0
13885757	13907415	1284.6	0
13907415	13921822	1285.0	0
13921822	13940053	1282.2	0
13940053	13952330	1278.2	0
13952330	13968738	1279.4	0
13968738	13989476	1275.0	0
13989476	14008970	1275.4	0
14008970	14023693	1271.6	0
14023693	14032280	1268.0	0
14032280	14049833	1268.4	0
14049833	14071902	1275.0	0
14071902	14094099	1274.0	0
14094099	14101518	1277.8	0
14101518	14115497	1278.2	0
14115497	14132784	1272.8	0
14132784	14158856	1272.4	0
14158856	14171515	1274.0	0
14171515	14189596	1275.6	0
14189596	14204646	1276.6	0
14204646	14224756	1276.2	0
14224756	14247988	1275.4	0
14247988	14255234	1271.8	0
14255234	14272774	1276.0	0
14272774	14292191	1272.0	0
14292191	14310179	1272.6	0
14310179	14333217	1272.8	0
14333217	14344300	1267.6	0
14344300	14358355	1273.6	0
14358355	14375691	1275.0	0
14375691	14391963	1277.8	0
14391963	14417088	1272.4	0
14417088	14423089	1279.6	0
14423089	14439486	1271.8	0
14439486	14455832	1269.0	0
14455832	14471848	1267.2	0
14471848	14494849	1267.0	0
14494849	14508868	1265.8	0
14508868	14526268	1267.2	0
14526268	14541915	1265.8	0
14541915	14564415	1265.4	0
14564415	14581083	1266.8	0
14581083	14594890	1267.2	0
14594890	14610246	1265.2	0
