#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
3673467	3691572	-1.0	1
3691572	3700300	-1.0	1
3700300	3708117	1873.0	1
3708117	3721675	1876.0	1
3721675	3733591	1874.5	1
3733591	3745309	1873.0	1
3745309	3752499	1872.4	1
3752499	3762646	1866.6	1
3762646	3778181	1865.6	1
3778181	3789900	1864.2	1
3789900	3802310	-1.0	1
3802310	3807492	-1.0	1
3807492	3822195	-1.0	1
3822195	3833346	1877.8	1
3833346	3840985	1871.7	1
3840985	3857494	1865.6	1
3857494	3870076	1873.0	1
3870076	3875957	1879.0	1
3875957	3887819	1900.8	1
3887819	3901627	1922.7	1
3901627	3911946	-1.0	1
3911946	3927830	-1.0	1
3927830	3937058	-1.0	1
3937058	3941035	-1.0	1
3941035	3953402	-1.0	1
3953402	3970753	1870.4	1
3970753	3978493	1867.6	1
3978493	3992125	1864.8	1
3992125	3997611	1873.4	1
3997611	4008604	1874.4	1
4008604	4023971	1874.8	1
4023971	4033892	1870.4	1
4033892	4046075	1868.6	1
4046075	4056716	1868.4	1
4056716	4067140	1871.9	1
4067140	4075449	-1.0	1
4075449	4082773	-1.0	1
4082773	4098954	-1.0	1
4098954	4109253	1877.6	1
4109253	4116101	1876.8	1
4116101	4140396	1869.0	1
4140396	4142090	1866.6	1
4142090	4158179	1875.0	1
4158179	4163700	1877.2	1
4163700	4178978	1879.4	1
4178978	4190711	1866.4	1
4190711	4199496	-1.0	1
4199496	4214599	-1.0	1
4214599	4220334	-1.0	1
4220334	4233304	1878.8	1
4233304	4249747	1877.5	1
4249747	4255221	1876.2	1
4255221	4271210	1876.4	1
4271210	4278733	-1.0	1
4278733	4289616	-1.0	1
4289616	4303470	-1.0	1
4303470	4313519	-1.0	1
4313519	4319684	-1.0	1
4319684	4330294	-1.0	1
4330294	4343169	1876.4	1
4343169	4355405	1879.4	1
4355405	4368882	1870.2	1
4368882	4382581	1866.8	1
4382581	4388634	1868.0	1
4388634	4398473	1877.8	1
4398473	4413312	1867.8	1
4413312	4427250	-1.0	1
4427250	4432874	-1.0	1
4432874	4443553	-1.0	1
4443553	4459434	1866.2	1
4459434	4468725	-1.0	1
4468725	4480197	-1.0	1
4480197	4489652	-1.0	1
4489652	4502653	-1.0	1
4502653	4513829	-1.0	1
4513829	4529831	-1.0	1
4529831	4535293	-1.0	1
4535293	4550160	1916.5	1
4550160	4556488	1868.4	1
4556488	4567038	1874.2	1
4567038	4583694	1876.2	1
4583694	4593117	1867.4	1
4593117	4601574	1867.6	1
4601574	4612435	1868.7	1
4612435	4627149	1869.8	1
4627149	4640552	1872.2	1
4640552	4649588	1874.6	1
4649588	4659203	1879.8	1
4659203	4675101	1871.5	1
4675101	4679324	1863.2	1
4679324	4693125	1869.0	1
4693125	4702739	-1.0	1
4702739	4717818	-1.0	1
4717818	4730284	-1.0	1
4730284	4741675	1875.0	1
4741675	4752440	1896.8	1
4752440	4763459	-1.0	1
4763459	4771240	-1.0	1
4771240	4781918	-1.0	1
4781918	4793809	-1.0	1
4793809	4811972	1875.0	1
4811972	4819002	1914.7	1
4819002	4828256	1890.6	1
4828256	4838711	1866.4	1
4838711	4851856	1871.1	1
4851856	4865499	1875.8	1
4865499	4872221	1871.1	1
4872221	4882881	1866.4	1
4882881	4893550	1872.8	1
4893550	4903030	-1.0	1
4903030	4922290	-1.0	1
4922290	4926975	-1.0	1
4926975	4938317	-1.0	1
4938317	4954040	-1.0	1
4954040	4957686	-1.0	1
4957686	4972062	-1.0	1
4972062	4979457	-1.0	1
4979457	4991614	1876.0	1
4991614	5001436	1876.2	1
5001436	5018033	1876.5	1
5018033	5028778	1876.8	1
5028778	5038835	1874.8	1
5038835	5046945	1929.4	1
5046945	5057873	1866.6	1
5057873	5074514	1866.9	1
5074514	5088769	1867.2	1
5088769	5099774	1874.6	1
5099774	5105424	1864.8	1
5105424	5120345	1871.6	1
5120345	5126180	1868.4	1
5126180	5144365	1867.9	1
5144365	5153094	-1.0	1
5153094	5164572	-1.0	1
5164572	5170177	-1.0	1
5170177	5185825	1872.6	1
5185825	5196581	1871.8	1
5196581	5201779	1866.4	1
5201779	5217686	1867.6	1
5217686	5223596	1871.3	1
5223596	5237420	1875.0	1
5237420	5249219	1865.8	1
5249219	5264758	1872.2	1
5264758	5270077	1868.8	1
5270077	5284570	1865.4	1
5284570	5291344	1864.9	1
5291344	5305542	-1.0	1
5305542	5315462	-1.0	1
5315462	5331214	-1.0	1
5331214	5337291	-1.0	1
5337291	5346105	-1.0	1
5346105	5366727	-1.0	1
5366727	5373838	-1.0	1
5373838	5383871	-1.0	1
5383871	5394708	1865.8	1
5394708	5404452	-1.0	1
5404452	5417758	-1.0	1
5417758	5431282	-1.0	1
5431282	5440335	1875.0	1
5440335	5452027	1870.8	1
5452027	5462947	1871.6	1
5462947	5473702	1871.0	1
5473702	5484276	1873.0	1
5484276	5495012	1875.0	1
5495012	5507342	1874.9	1
5507342	5518590	1874.8	1
5518590	5531981	-1.0	1
5531981	5537402	-1.0	1
5537402	5547973	-1.0	1
5547973	5561697	-1.0	1
5561697	5573807	-1.0	1
5573807	5584476	-1.0	1
5584476	5592580	-1.0	1
5592580	5604328	-1.0	1
5604328	5610371	-1.0	1
5610371	5625216	-1.0	1
5625216	5636194	-1.0	1
5636194	5645868	-1.0	1
5645868	5662369	-1.0	1
5662369	5669411	-1.0	1
5669411	5679485	1876.8	1
5679485	5693500	1872.2	1
5693500	5702098	1862.6	1
5702098	5718709	1869.0	1
5718709	5729734	1925.8	1
5729734	5738114	-1.0	1
5738114	5748606	-1.0	1
5748606	5761385	-1.0	1
5761385	5772687	-1.0	1
5772687	5780955	-1.0	1
5780955	5791568	-1.0	1
5791568	5805914	-1.0	1
5805914	5819276	-1.0	1
5819276	5831640	-1.0	1
5831640	5838915	-1.0	1
5838915	5847645	-1.0	1
5847645	5863673	-1.0	1
5863673	5872428	-1.0	1
5872428	5878777	-1.0	1
5878777	5889765	-1.0	1
5889765	5899878	-1.0	1
5899878	5918036	-1.0	1
5918036	5927118	-1.0	1
5927118	5937917	-1.0	1
5937917	5948641	-1.0	1
5948641	5961965	-1.0	1
5961965	5969864	-1.0	1
5969864	5985868	-1.0	1
5985868	5991567	-1.0	1
5991567	6005693	-1.0	1
6005693	6013357	-1.0	1
6013357	6028795	-1.0	1
